id	qtype	question	answer	provider	source	btypes	supplier_id	business_id
1	1	qtalk是什么	Qtalk是一款专注于企业办公的即时通讯工具；集会话会议、协同办公、数据管理和智能支持等多功能于一体，实现多端共享，随时随地满足多样化工作需求		db	None	1	1
2	2	什么是qtalk	Qtalk是一款专注于企业办公的即时通讯工具；集会话会议、协同办公、数据管理和智能支持等多功能于一体，实现多端共享，随时随地满足多样化工作需求		db	None	1	1
3	3	qtalk是什么	Qtalk是一款专注于企业办公的即时通讯工具；集会话会议、协同办公、数据管理和智能支持等多功能于一体，实现多端共享，随时随地满足多样化工作需求		db	None	1	1
4	4	普吉岛的问题	普吉岛的回答普吉岛的回答		db	None	1	1
6	6	是的发的撒地方	阿斯顿发打发44444		db	None	1	1
7	7	你为啥这么牛逼22222	我就是这么牛逼，咋地。		db	None	1	1
8	8	叽里呱啦一顿说	哎呀呀呀		db	None	1	1
9	9	巴拉巴拉	巴拉巴拉的解答巴拉巴拉的解答巴拉巴拉的解答		db	None	1	1
10	10	北京问题111111	北京问题111111北京问题111111北京问题111111北京问题111111		db	None	1	1
11	11	新增问题55	解答55		db	None	1	1
12	12	222222222	的解答的解答的解答的解答		db	None	1	1
14	14	第二个问题	第二个问题有点难耶		db	None	1	1
15	15	第二个问题是什么	第二个问题有点难耶		db	None	1	1
16	16	什么是第二个问题	第二个问题有点难耶		db	None	1	1
17	17	第三个问题	嗯第三个问题		db	None	1	1
18	18	第三个问题是什么	嗯第三个问题		db	None	1	1
19	19	什么是第三个问题	嗯第三个问题		db	None	1	1
21	21	普吉岛的问题3	普吉岛的回答33		db	None	1	1
22	22	普吉岛的问题2222	普吉岛的问题2222		db	None	1	1
24	24	你好呀	你好你好		db	None	1	1
25	25	北京有什么好玩的东西呀	你猜呀，不告诉你		db	None	1	1
28	28	平遥好玩吗平遥好玩吗平遥好玩吗平遥好玩吗平遥好玩吗平遥好玩吗平遥好玩吗	平遥好玩吗		db	None	1	1
29	29	神经病神经病神经病神经病神经病	神经病神经病神经病神经病		db	None	1	1
30	30	上海有什么好玩的东西吗	迪士尼，东方明珠啊		db	None	1	1
31	31	这里是第2条问题	这里是第2条问题		db	None	1	1
32	32	西安城墙好玩吗	好不错呢		db	None	1	1
37	37	北京北京	北京北京		db	None	1	1
38	38	你好上海可以加吗	上海可以了，新西兰也可以哦,可以多添加几个		db	None	1	1
41	41	是纯玩还是购物团	您好,此产品是纯玩的,没有购物!		db	None	1	1
42	42	有购物点吗	您好,此产品是纯玩的,没有购物!		db	None	1	1
43	43	需要购物吗	您好,此产品是纯玩的,没有购物!		db	None	1	1
50	50	test测试乱码	got木有乱码		db	None	1	1
51	51	如何办理退款	在我的订单中有具体的退款信息		db	None	1	1
52	52	退款的流程	在我的订单中有具体的退款信息		db	None	1	1
53	53	怎么退款	在我的订单中有具体的退款信息		db	None	1	1
